YEAR,APPRAISED IMPROVEMENTS,APPRAISED LAND,APPRAISED TOTAL,ASSESSED IMPROVEMENTS,ASSESSED LAND, ASSESSED TOTAL,ADDRESS,URL,SALE DATE,SALE PRICE,MODEL,STYLE,LIVING AREA,LAND AREA(SF),NBHD,STORIES,ROOMS,BEDROOMS,BATHS,HALF BATHS
2018,$236400,$341400,$577800,$236400,$341400,$577800,127 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2768,07/26/2011,$412000.00,Residential,Old Style,1120,5960,28,2 Stories,5,3 Bedrooms,1,1
2017,$238800,$325200,$564000,$238800,$325200,$564000,127 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2768,07/26/2011,$412000.00,Residential,Old Style,1120,5960,28,2 Stories,5,3 Bedrooms,1,1
2016,$201200,$325200,$526400,$201200,$325200,$526400,127 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2768,07/26/2011,$412000.00,Residential,Old Style,1120,5960,28,2 Stories,5,3 Bedrooms,1,1
2018,$231100,$339100,$570200,$231100,$339100,$570200,113 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2771,06/29/2015,$643750.00,Residential,Old Style,1512,5445,28,2 Stories,7 Rooms,4 Bedrooms,2,1
2017,$235200,$322900,$558100,$235200,$322900,$558100,113 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2771,06/29/2015,$643750.00,Residential,Old Style,1512,5445,28,2 Stories,7 Rooms,4 Bedrooms,2,1
2016,$209200,$322900,$532100,$209200,$322900,$532100,113 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2771,06/29/2015,$643750.00,Residential,Old Style,1512,5445,28,2 Stories,7 Rooms,4 Bedrooms,2,1
2018,$324000,$340900,$664900,$324000,$340900,$664900,68 GRANT ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2776,05/21/2014,$741000.00,Residential,Old Style,1962,5850,28,2 Stories,7 Rooms,3 Bedrooms,2,0
2017,$326600,$324700,$651300,$326600,$324700,$651300,68 GRANT ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2776,05/21/2014,$741000.00,Residential,Old Style,1962,5850,28,2 Stories,7 Rooms,3 Bedrooms,2,0
2016,$303300,$324700,$628000,$303300,$324700,$628000,68 GRANT ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2776,05/21/2014,$741000.00,Residential,Old Style,1962,5850,28,2 Stories,7 Rooms,3 Bedrooms,2,0
2018,$240700,$322400,$563100,$240700,$322400,$563100,241 ELSINORE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2801,06/28/2016,$620000.00,Residential,Ranch,1475,13049,28,1 Story,5,2 Bedrooms,1,1
2017,$182700,$307100,$489800,$182700,$307100,$489800,241 ELSINORE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2801,06/28/2016,$620000.00,Residential,Ranch,1475,13049,28,1 Story,5,2 Bedrooms,1,1
2016,$156100,$307100,$463200,$156100,$307100,$463200,241 ELSINORE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2801,06/28/2016,$620000.00,Residential,Ranch,1475,13049,28,1 Story,5,2 Bedrooms,1,1
2018,$226100,$362700,$588800,$226100,$362700,$588800,252 ELSINORE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2807,05/15/2014,$648000.00,Residential,Ranch,1494,10436,28,1 Story,,3 Bedrooms,1,0
2017,$202300,$345400,$547700,$202300,$345400,$547700,252 ELSINORE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2807,05/15/2014,$648000.00,Residential,Ranch,1494,10436,28,1 Story,,3 Bedrooms,1,0
2016,$174200,$345400,$519600,$174200,$345400,$519600,252 ELSINORE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2807,05/15/2014,$648000.00,Residential,Ranch,1494,10436,28,1 Story,,3 Bedrooms,1,0
2018,$161000,$429800,$590800,$161000,$429800,$590800,223 ELSINORE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2837,02/14/2013,$460000.00,Residential,Ranch,994,12178,28,1 Story,,3 Bedrooms,1,0
2017,$142400,$409400,$551800,$142400,$409400,$551800,223 ELSINORE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2837,02/14/2013,$460000.00,Residential,Ranch,994,12178,28,1 Story,,3 Bedrooms,1,0
2016,$114300,$409400,$523700,$114300,$409400,$523700,223 ELSINORE ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2837,02/14/2013,$460000.00,Residential,Ranch,994,12178,28,1 Story,,3 Bedrooms,1,0
2018,$262500,$340800,$603300,$262500,$340800,$603300,29 COTTAGE LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2869,07/28/2011,$480000.00,Residential,Old Style,1588,5830,28,2,6,3 Bedrooms,1,1
